influencer_id,influencer_name,platform,category,followers,engagement_rate_percent,avg_likes,avg_comments,country,brand_collaborations
50,Meredith Bell,YouTube,Fitness,765796,12.1,48976,2630,India,54
51,Kendra Williams,LinkedIn,Food,3629834,14.23,19300,2097,Canada,192
52,Stephanie Graves,YouTube,Food,4031979,8.63,35592,5556,USA,121
53,Amber Mitchell,Twitter,Food,1209170,8.41,2004,4004,USA,2
54,Cody Owen,TikTok,Food,4244117,14.92,36868,3730,UK,113
55,Michelle Flynn,Instagram,Food,672034,14.39,12027,8817,USA,57
56,Jennifer Clark,Facebook,Beauty,2232032,9.93,49539,6053,Canada,63
57,Claudia Cook,YouTube,Fitness,2870936,13.47,42722,2134,Canada,128
58,Jennifer Stevenson,Facebook,Fitness,307609,1.78,22359,8715,UK,181
59,Phillip Thompson,Instagram,Fitness,4900041,7.58,30396,3634,USA,44
60,Tamara Fischer,TikTok,Fashion,4621033,5.82,20558,2694,UK,11
61,Terri Bender,Facebook,Technology,1279365,5.63,27005,8559,Australia,186
62,Anne Dennis,TikTok,Food,1871086,14.74,42648,653,UK,27
63,Brittney Campbell,LinkedIn,Travel,873406,6.82,4631,5913,Australia,108
64,Robert Baldwin,Twitter,Food,2395856,6.6,15359,8664,Canada,88
65,Andre Ayala,Facebook,Technology,3189624,9.52,33844,4354,Canada,128
66,George Johnson,Twitter,Fitness,1915818,3.9,40968,1175,USA,73
67,Dustin Barnes,Facebook,Travel,4567448,9.43,30590,7191,India,3
68,Jason Mccullough,YouTube,Gaming,3551399,13.48,40402,4308,UK,150
69,Mark Martin,Facebook,Fitness,4973973,10.48,27739,4518,India,125
70,Jasmine Blake,LinkedIn,Travel,3461975,1.34,21270,3400,India,22
71,Jesse Moran,Instagram,Fitness,1081230,14.22,16152,9455,Australia,8
72,Anthony Johnson,LinkedIn,Food,985220,4.38,6071,6179,USA,140
73,Lori Baldwin,TikTok,Travel,1878753,4.47,41030,893,UK,141
74,Diana Duarte,Twitter,Fashion,635987,1.53,7765,6016,USA,53
75,Ashley Riley,YouTube,Technology,3834881,4.92,26556,7530,India,34
76,James Pugh,LinkedIn,Beauty,3774630,7.87,30299,1181,UK,98
77,Jordan Berry,Twitter,Travel,3069672,9.51,24223,7600,Australia,171
78,James Walters,TikTok,Technology,2482477,5.95,37347,5643,Australia,146
79,Richard Ford,Instagram,Technology,3111945,14.67,21347,3952,Canada,35
80,Justin Perry,Instagram,Food,4725002,10.94,7619,4941,Australia,94
81,Veronica Meyers,LinkedIn,Fitness,2402029,13.57,41011,5672,USA,177
82,Nicole Downs,Twitter,Technology,2626153,2.83,9498,1030,Canada,172
83,Stacey Eaton,LinkedIn,Fitness,4443552,10.03,49861,1237,Canada,167
84,Jessica Wells,Instagram,Travel,2629445,2.35,41332,3050,India,77
85,Gregory Hernandez,Twitter,Technology,3140527,7.88,21049,2460,India,53
86,James Orozco,Twitter,Fitness,339565,12.05,31136,6339,Australia,68
87,Linda Brewer,LinkedIn,Gaming,3886849,3.83,35943,2338,UK,15
88,Mary Bartlett,Facebook,Gaming,1582695,12.52,15957,2843,India,44
89,Jessica Mills,Facebook,Fashion,2387671,13.29,48385,2852,Australia,52
90,Courtney Hopkins,Twitter,Beauty,3662694,4.27,1545,9455,UK,24
91,Christina Patel,Instagram,Beauty,1477625,12.16,36254,655,UK,184
92,Steven Jacobson,LinkedIn,Technology,1383157,5.95,38307,9329,India,182
93,Brett Phillips,TikTok,Travel,226734,4.95,16672,1470,USA,168
94,Ryan Wilson,Facebook,Technology,1986305,13.66,26749,153,India,142
95,Justin Conway,Instagram,Fitness,4986714,2.22,19931,3841,UK,129
96,Jacqueline Holden,YouTube,Fitness,3078694,7.62,39475,7104,USA,119
97,Lauren Diaz,Instagram,Fitness,3587289,8.66,32446,3939,UK,33
98,Kimberly Robles,YouTube,Fashion,973864,11.75,10941,1434,USA,129
99,Dr. Jerry Delgado,Instagram,Fashion,702145,14.92,19105,9720,UK,144
100,Darrell Pena,LinkedIn,Travel,289314,3.28,3425,9130,Australia,166
101,Jasmine Hood MD,LinkedIn,Food,4432632,10.96,44495,6772,UK,93
102,Carol Friedman,LinkedIn,Fashion,1324582,3.64,44408,9452,Australia,10
103,Paige Jones,Twitter,Fitness,4305504,3.16,12695,5278,Canada,144
104,Heather Herman,YouTube,Fitness,1736578,2.32,49931,7082,Canada,126
105,Sharon Williams,Twitter,Gaming,452596,14.88,4635,7954,India,3
106,Brian Robinson,LinkedIn,Fashion,1826822,10.67,40626,1906,Australia,196
107,Janet Myers,Facebook,Beauty,4020264,5.07,2077,1855,USA,185
108,Brian Garcia,Instagram,Beauty,1728585,11.94,16419,4483,UK,152
109,Robert Moody,TikTok,Fashion,3086999,7.02,16883,8527,Canada,198
110,Joshua Hall,Twitter,Food,3279608,5.83,29839,5701,USA,92
111,Jason Taylor,Instagram,Beauty,3853302,3.13,24828,3443,India,101
112,Christopher Zavala,Twitter,Food,219921,12.69,42206,8274,India,24
113,Hannah Schmidt,Twitter,Beauty,461285,5.42,28902,527,USA,195
114,Rachel Baird,YouTube,Fashion,4810449,9.57,27921,6556,Canada,6
115,Eric Wilcox,LinkedIn,Technology,115624,5.84,26484,9804,Canada,102
116,Mr. Tyler Cunningham,YouTube,Beauty,2060943,13.06,16341,3594,Canada,16
117,Diana Hawkins,Twitter,Gaming,246603,7.9,20958,8587,India,7
118,Christopher Smith,Instagram,Technology,4866373,7.94,43089,815,Australia,108
119,Jamie Ashley,YouTube,Technology,1661111,4.5,14222,521,Canada,87
120,Gabrielle Santiago,Facebook,Technology,4484851,11.9,45702,8895,Australia,142
121,Douglas Ponce,Twitter,Fitness,1617466,9.72,16051,7689,UK,154
122,Whitney Doyle,TikTok,Fitness,44655,12.77,9415,8615,UK,139
123,Kevin Jones,LinkedIn,Technology,1186924,10.6,48773,4514,UK,81
124,David Bush,Instagram,Travel,945303,3.96,27679,412,USA,80
125,Craig Gibson,YouTube,Food,4357877,13.07,32580,8910,Australia,53
126,Vanessa Singh,YouTube,Food,4596314,10.95,36970,3174,USA,62
127,Justin Hansen,Facebook,Gaming,4462809,1.24,15526,6757,UK,113
128,Todd Garza,TikTok,Food,3055226,8.26,18022,8494,Canada,189
129,Ronald Stone,Facebook,Fashion,4024243,14.21,25848,3802,Canada,197
130,Michael Lopez,TikTok,Fitness,742020,2.82,7023,7513,UK,89
131,Nicole Johnson,TikTok,Food,1415797,9.05,2545,2016,UK,92
132,Jessica Murphy,LinkedIn,Fashion,4307590,5.23,7368,4433,UK,21
133,Gwendolyn Quinn,LinkedIn,Fashion,3103706,7.15,46416,5125,USA,180
134,Jennifer Lucas,Instagram,Food,3182334,13.48,35424,6265,India,27
135,Adam Phillips,Instagram,Beauty,2575595,6.41,13092,6164,India,23
136,Austin Murphy,TikTok,Gaming,4332852,9.51,49143,382,UK,88
137,Jamie Jarvis,Facebook,Food,2851324,10.93,23079,4250,USA,190
138,Laura Jacobs,YouTube,Food,3341650,8.01,33297,4205,USA,128
139,Leroy Wilson,Facebook,Beauty,3793296,2.25,1889,3270,UK,174
140,Mrs. Erin Page,Facebook,Technology,2288499,9.85,22248,9303,UK,173
141,John Ramirez,Instagram,Fashion,3442606,12.03,15230,133,India,24
142,Sarah Garcia,YouTube,Fitness,3471051,10.01,32641,2474,USA,134
143,Amanda Norman,TikTok,Technology,3158532,12.2,45122,2079,India,167
144,George Ward,YouTube,Food,3734104,11.41,34858,3817,Australia,95
145,Jennifer Jordan,Facebook,Beauty,465349,14.19,44610,7408,India,150
146,Ryan Wilson,Twitter,Travel,1625694,4.62,37690,1413,Canada,175
147,Kimberly Frederick,Instagram,Fashion,3026866,1.46,12484,6767,UK,193
148,Rose Underwood,LinkedIn,Gaming,162568,4.37,16607,9227,UK,49
149,Richard White,Instagram,Fashion,3976035,12.38,45387,6900,USA,125
150,Gregory Mcfarland,Twitter,Travel,4785966,5.63,22079,2053,UK,47
151,Tanya Kelly,Facebook,Technology,4983143,14.37,40277,6363,Canada,148
152,Jason Jarvis,Instagram,Gaming,2763394,5.11,49355,7818,UK,112
153,Kelli Pena,YouTube,Travel,1095131,7.65,608,216,India,107
154,Tammy Pearson,TikTok,Fitness,561668,10.08,17853,5034,Canada,149
155,Monique Roman,Facebook,Travel,2388114,10.76,12166,3857,UK,173
156,Tyler Mccoy,Twitter,Fitness,987022,12.43,36197,3754,USA,109
157,Dana Duran,LinkedIn,Travel,2337209,13.73,31977,1512,India,14
158,Ian Barr,TikTok,Travel,760147,7.23,6879,2075,Australia,73
159,Jose Mayo,Instagram,Gaming,2835014,7.28,48494,3942,India,70
160,Dean Barrett,Facebook,Fashion,4751288,5.22,45899,4745,USA,161
161,Destiny Barry,Facebook,Beauty,2058083,5.39,9914,8897,USA,164
162,Christopher Mack,Twitter,Travel,1790016,7.77,31024,5905,Canada,169
163,Shirley Palmer,LinkedIn,Fashion,4127714,9.03,43323,3429,India,36
164,Courtney Smith,TikTok,Technology,3478547,13.39,41860,7496,Canada,25
165,Megan George,LinkedIn,Fitness,695472,5.78,47860,1080,Australia,120
166,Melanie Edwards,LinkedIn,Beauty,315733,10.45,39062,4568,India,185
167,Jeremiah Smith,LinkedIn,Fashion,18021,7.83,7701,6844,India,20
168,Miranda Wong,Facebook,Technology,2523427,14.06,25123,1358,India,150
169,Jamie Daniels,LinkedIn,Food,4235882,4.38,23905,4991,USA,188
170,Victor Paul,TikTok,Fitness,2534138,13.22,48050,8477,Australia,167
171,Anthony Black,YouTube,Fitness,2823614,14.58,32674,7931,UK,144
172,Tracey Kelly,Instagram,Food,4158201,7.42,36820,9203,India,162
173,Steven Jackson,YouTube,Technology,1234390,5.77,6313,2589,India,193
174,Cynthia Cook,LinkedIn,Fitness,4656066,12.6,49576,2739,Canada,124
175,Ashley Kelly,Instagram,Travel,4797197,14.6,26910,6669,Canada,187
176,Paul Reynolds,TikTok,Technology,164818,3.08,47215,3350,Australia,56
177,Theodore Smith,Facebook,Food,4791657,10.05,4240,6735,UK,104
178,Karina Willis,Instagram,Beauty,4443661,2.87,47107,39,India,49
179,Janice Franklin,Twitter,Travel,3963665,1.13,1487,7343,India,63
180,Kristen Evans,Instagram,Travel,4089759,8.28,41486,8410,Canada,183
181,Michael Smith,LinkedIn,Fitness,3647054,11.52,10862,619,Canada,193
182,Michael Davis,LinkedIn,Fitness,295632,8.99,17988,8287,UK,153
183,Samantha Guerra,Twitter,Food,1297464,10.41,32324,5008,Australia,113
184,Gary Robles,YouTube,Travel,3435010,14.07,26959,5715,India,122
185,Eric Harrington,Facebook,Beauty,2403472,10.42,22402,6491,UK,114
186,Ricardo Lang,TikTok,Technology,1118628,6.98,44466,4544,India,198
187,Mary Williams,Instagram,Food,4277774,3.24,38502,4467,Canada,123
188,Allison Williams,Instagram,Fitness,4844538,5.9,20241,5489,USA,194
189,Kimberly Lam,TikTok,Fitness,1252290,1.85,26131,3718,India,56
190,Randall Manning,TikTok,Gaming,1049637,12.83,16856,5677,USA,96
191,Danny Mcdonald,Instagram,Travel,3719681,4.12,47007,560,Canada,193
192,Richard Williams,Instagram,Gaming,2164509,11.86,25075,3740,UK,23
193,Mr. Tracy Garcia,YouTube,Gaming,3630587,8.21,9831,4472,Canada,103
194,John Weiss,YouTube,Technology,4016087,6.15,46505,9161,USA,124
195,Jerry Evans,Instagram,Fashion,4822401,9.31,47293,5888,USA,103
196,Melissa Daniels,YouTube,Fitness,3425184,9.41,9013,8090,Canada,60
197,Jaclyn Perkins,YouTube,Fitness,1822161,14.9,35016,5835,Canada,41
198,Angela Cole,YouTube,Beauty,4360018,4.23,14459,8167,USA,48
199,Wendy Fischer,YouTube,Fashion,2828116,11.51,2416,3838,USA,184
200,Debra Kramer,Twitter,Gaming,3956523,12.54,46917,891,India,140
201,Bridget Terry,Twitter,Fitness,4900512,5.37,16548,577,USA,191
202,Lucas Rodriguez,YouTube,Fitness,3740397,1.16,15384,3241,India,162
203,Christopher Smith,LinkedIn,Fitness,4509089,13.42,35055,4622,UK,103
204,Cheryl Brooks,Twitter,Food,692972,2.79,35976,227,UK,119
205,Zachary Rubio,LinkedIn,Travel,1839116,7.16,46687,6109,India,123
206,Sean Brown,TikTok,Travel,3532322,9.0,1185,6346,UK,95
207,Thomas Gomez,Twitter,Beauty,2991893,5.3,45395,2380,India,95
208,Joshua Cox PhD,LinkedIn,Beauty,4106951,10.32,14678,7615,Australia,172
209,Monica Davila,Instagram,Technology,1320880,7.09,13617,2403,Canada,51
210,George Palmer,Facebook,Travel,3596999,8.31,13481,4330,USA,135
211,Tanya Hoffman,LinkedIn,Fashion,4665843,3.99,14580,9903,Canada,158
212,Wendy Stephenson,Twitter,Gaming,3933152,13.79,34039,3586,USA,21
213,Steven Payne,YouTube,Fashion,3124032,1.32,39019,8372,UK,194
214,Amy Miller,TikTok,Technology,4880268,12.54,23876,1342,India,33
215,Carol Bishop,TikTok,Food,2782845,1.16,48363,8605,Canada,164
216,Christopher Gonzalez,TikTok,Fitness,309898,6.65,19607,8117,Canada,121
217,Thomas Russo,LinkedIn,Travel,786344,13.19,44568,8734,Canada,64
218,Anita Barnes,Facebook,Gaming,1194916,8.83,40446,1478,India,60
219,Madison Jenkins,Facebook,Fitness,4427980,5.69,30882,6264,USA,40
220,Tina Rodriguez,LinkedIn,Beauty,866397,5.55,26343,3985,Canada,76
221,Kimberly Terry,TikTok,Fitness,1728199,9.02,39196,9911,UK,158
222,Amanda Garza,Facebook,Fashion,2826424,13.84,13276,9134,Australia,90
223,Jeremy Pierce,Facebook,Food,2688584,12.03,23843,7154,UK,51
224,Michelle Roberts,LinkedIn,Food,625837,7.58,14334,533,India,39
225,Amanda Fernandez,YouTube,Gaming,764697,1.22,30753,3362,Canada,172
226,Laurie Juarez,Twitter,Fitness,3155478,4.1,23098,6418,Canada,53
227,Andrew Hunter,Twitter,Fitness,1560337,3.38,18783,8293,Canada,69
228,Matthew Stewart,Instagram,Food,4734525,3.99,43847,6433,India,25
229,Sheila Herring,LinkedIn,Fashion,4868576,2.73,19915,9010,Australia,111
230,Brian Clark,Twitter,Fashion,3325660,11.08,49107,7267,USA,191
231,Angela Roth,Facebook,Beauty,1294958,6.79,29412,9156,Australia,161
232,Mary Flores,LinkedIn,Technology,1659446,10.3,40341,5968,UK,24
233,Natalie Stephenson,Instagram,Beauty,4063970,14.88,40493,400,Australia,51
234,Theodore Campbell,TikTok,Technology,4158803,2.35,46450,6012,Australia,28
235,Heather Lane,TikTok,Beauty,122458,5.0,16282,4474,Canada,112
236,Raymond Wright,Facebook,Food,4821500,12.7,14085,3850,Australia,113
237,Michael Castro,Twitter,Beauty,4607204,13.35,46731,5354,USA,129
238,Johnny Miller,Facebook,Food,4804317,1.42,28722,5668,India,142
239,Lauren Strickland,Facebook,Gaming,1606432,7.2,29549,7270,India,152
240,Matthew Adams,LinkedIn,Travel,4435764,13.91,15592,7311,UK,63
241,Larry Gonzales,LinkedIn,Beauty,2215785,5.97,26529,8344,UK,159
242,Noah Butler,TikTok,Fitness,1798861,8.05,49049,5318,India,39
243,Kimberly Vasquez,LinkedIn,Gaming,2012115,1.63,38877,6408,UK,101
244,Abigail Bass,YouTube,Technology,1388472,4.71,15317,5890,UK,136
245,Dorothy Murray,YouTube,Fashion,3404261,9.33,12333,1693,UK,100
246,Eric Martin,LinkedIn,Food,271059,12.52,4261,103,Australia,140
247,Brandon Smith,Facebook,Food,378544,3.93,40856,4783,Canada,110
248,Theresa Parsons,LinkedIn,Beauty,6802,13.67,3940,3492,Canada,104
249,Kim Christensen,TikTok,Food,2178322,7.18,48246,9569,India,169
250,David Thomas,YouTube,Fitness,688182,6.96,7688,5558,India,194
251,Ashley Pruitt,Twitter,Food,1995305,11.18,45893,5148,UK,142
252,Leah Bradford,Twitter,Gaming,3430055,10.94,4696,9244,India,11
253,Richard Mendez,LinkedIn,Travel,2540214,2.72,14623,3540,USA,96
254,Amanda Carroll,TikTok,Gaming,1100093,12.83,46966,6591,India,26
255,Travis Graves,Facebook,Gaming,1875220,8.22,121,444,USA,151
256,Sabrina Guzman,TikTok,Fitness,2842523,12.0,34090,209,India,8
257,Kimberly Kemp,Facebook,Beauty,576290,3.58,23287,7649,India,139
258,Tyler Soto,LinkedIn,Fashion,778142,13.76,25316,1504,Australia,76
259,Brittany Armstrong,Instagram,Fitness,4767443,11.79,26391,6142,India,92
260,Joseph Spencer,Instagram,Gaming,2819932,2.69,48576,9737,USA,148
261,Daniel Hayes,Instagram,Travel,3455296,8.45,28483,8088,India,124
262,Janet Best,Twitter,Technology,66320,8.51,40097,2438,Australia,53
263,Audrey Allen,LinkedIn,Gaming,1367807,11.52,24062,302,Canada,180
264,Tracy Kelly,Instagram,Fitness,851715,9.4,38831,3624,USA,36
265,Christopher Kirk,Facebook,Travel,623650,11.67,23235,2693,USA,11
266,Kenneth Frazier,Facebook,Fashion,4719907,13.2,43728,874,USA,123
267,Heather Dunlap,TikTok,Food,613718,14.1,23903,8574,Australia,90
268,Oscar Velasquez,TikTok,Technology,3233607,3.16,35548,133,Canada,103
269,Lynn Perez,YouTube,Food,892011,1.96,48639,2171,India,167
270,Samantha Mendoza,TikTok,Travel,1926627,13.84,24387,1223,Canada,82
271,Christy Salinas,YouTube,Fashion,4114661,10.43,7825,9102,Canada,13
272,Robin Andrews,Instagram,Gaming,533444,8.59,47932,2178,USA,174
273,Rebecca Nguyen,YouTube,Technology,1860351,3.74,23507,9583,Australia,197
274,Courtney Tran,YouTube,Fashion,4156056,9.13,28227,2488,USA,30
275,Leah Dean,Facebook,Travel,2387466,12.42,28311,9112,Australia,180
276,Amanda Anderson,LinkedIn,Gaming,885624,12.84,25456,1785,Australia,196
277,Austin Giles,Instagram,Technology,3394706,13.04,23647,525,UK,42
278,George Sandoval,Instagram,Beauty,748036,1.91,14331,6937,India,133
279,Maria Mcgrath,Facebook,Beauty,1028177,6.67,6864,9142,India,65
280,Krista Rodriguez,TikTok,Beauty,2141007,11.46,2885,8885,India,178
281,Mary Santiago,Facebook,Fashion,4191639,13.7,36263,3888,UK,109
282,Douglas Jones,Facebook,Travel,4731528,5.56,23194,508,Canada,3
283,Katie Coleman,Twitter,Technology,4955501,10.52,32966,589,Canada,34
284,Michael Wells,TikTok,Food,3832358,4.67,39036,9154,USA,176
285,Herbert Smith,Facebook,Travel,4584384,13.8,42951,685,Canada,67
286,Shelia Thompson,Facebook,Fashion,1189326,9.52,20091,2364,Australia,169
287,Melanie Barnes,Facebook,Food,135856,5.06,42733,7279,Canada,46
288,George Lopez,Twitter,Beauty,2653444,12.87,41197,8763,UK,117
289,Dylan Simpson,LinkedIn,Fashion,3408757,11.54,39458,5678,USA,12
290,Stanley Adams,Facebook,Food,804009,6.47,9208,8612,Canada,32
291,Laura Gonzalez,Twitter,Gaming,3938723,14.85,24697,8519,UK,150
292,Philip Williams,Twitter,Food,121159,2.89,8585,9993,Canada,100
293,James Shea,TikTok,Food,712373,2.69,9085,8869,Canada,112
294,Jonathan Hill,Facebook,Travel,67085,11.75,34315,2108,UK,103
295,William Dunlap,Twitter,Beauty,4601242,9.32,44344,6787,Canada,167
296,Lori Wilson,Facebook,Food,386647,2.75,10415,8173,Canada,176
297,Brian Dominguez,Instagram,Technology,2478595,1.63,32687,2184,USA,23
298,Karen Flores,Facebook,Fitness,1238467,5.51,13408,5593,USA,88
299,Shannon Alvarez,Instagram,Travel,3274891,12.64,21138,8580,Australia,80
300,Holly Davis,TikTok,Fitness,3276574,13.3,7177,5950,India,87
301,Anna Bean,Facebook,Gaming,1260958,1.12,15020,5434,USA,197
302,Francisco Orr,Instagram,Travel,736317,3.64,17938,6106,Canada,5
303,Denise Moss,LinkedIn,Fitness,2764099,9.58,18984,2467,USA,39
304,Deborah Cohen,Twitter,Fashion,1065307,11.16,534,9924,India,38
305,Mr. Connor Black,Facebook,Gaming,4855086,4.79,14925,1805,UK,179
306,Robert Patterson Jr.,Instagram,Beauty,631025,4.93,35374,7974,Australia,57
307,Thomas Castillo,YouTube,Gaming,2225987,10.73,41726,7648,Canada,152
308,Christopher Chambers,Facebook,Fashion,4564331,3.12,49666,2454,India,30
309,Katherine Trujillo MD,YouTube,Fitness,3583641,14.03,6177,3575,Canada,160
310,Diane Miller,Twitter,Travel,4747689,13.12,5395,8248,India,168
311,Brittany Rivera,Twitter,Travel,130961,14.44,25191,2487,UK,42
312,Brian Spencer,TikTok,Travel,3426906,5.81,40506,7150,USA,174
313,Louis Cox,TikTok,Food,2790179,6.06,18596,5702,USA,107
314,Jacob Roberts,Facebook,Travel,1789509,11.74,34354,8755,USA,51
315,Michael Blevins,YouTube,Technology,4144891,12.54,20469,4860,USA,33
316,Vanessa Marshall,Instagram,Fashion,2701542,3.84,30635,8644,Australia,194
317,Jason Miller,Facebook,Fashion,1566030,8.75,16453,4144,UK,94
318,Timothy Lowery,LinkedIn,Fitness,1933746,8.76,33574,7748,USA,2
319,Kyle Matthews,TikTok,Food,2198779,7.18,24983,6227,India,137
320,Jason Newman,TikTok,Technology,1078970,8.56,21133,8221,Canada,21
321,Jeffrey Cohen,TikTok,Technology,1086334,1.78,13705,1203,USA,184
322,Colin Wood,LinkedIn,Fitness,3272774,8.78,6832,6105,USA,102
323,Richard Jones,Twitter,Fashion,1078051,2.33,31607,4862,India,66
324,Kelly Gibson,Twitter,Beauty,2209955,4.08,8081,269,Canada,21
325,Christopher Warren,Facebook,Fitness,2327689,13.91,38823,9809,Canada,79
326,Ashley Franco,Facebook,Technology,2958212,10.91,13517,3518,India,153
327,Rebecca Graham,Instagram,Gaming,4017674,2.35,23851,3735,USA,63
328,Michael James,TikTok,Fitness,2321519,12.0,40877,7100,Australia,120
329,Justin Webb,Instagram,Gaming,239994,2.29,13601,4976,USA,76
330,Blake Romero,TikTok,Technology,2530399,9.4,48524,8912,UK,142
331,Andrew Taylor,Twitter,Travel,3468479,9.78,34407,8319,India,122
332,Billy Benson,Twitter,Beauty,4293747,6.65,8674,1914,UK,147
333,Patrick Greer,LinkedIn,Technology,4956682,3.15,14344,7496,Canada,57
334,Megan Wong,Facebook,Travel,4320873,2.79,3051,3471,USA,31
335,Paul Hoffman,YouTube,Beauty,1344671,3.34,39558,5287,UK,143
336,Jeffery Dyer,TikTok,Fashion,344574,14.01,19094,7400,USA,176
337,Whitney Moon,Twitter,Gaming,987998,14.73,34530,3597,Canada,143
338,Jessica Liu DVM,TikTok,Gaming,3887640,5.34,32630,4211,India,118
339,Brent Garcia,TikTok,Food,151984,4.1,23250,6609,India,1
340,Tyler Good MD,Twitter,Fitness,3769840,6.29,10720,9025,USA,31
341,Kimberly Berry,Twitter,Travel,1519215,12.02,8426,2001,Australia,55
342,Jennifer Lee,LinkedIn,Fitness,4224205,6.81,31607,9122,UK,196
343,Sherry Mitchell,Facebook,Gaming,3695040,2.87,14222,9829,USA,51
344,Anthony David,Twitter,Beauty,94058,13.69,23702,9624,Canada,146
345,Thomas Cooper,Instagram,Food,1394345,10.27,26372,6525,India,70
346,Sharon Williams,YouTube,Fashion,4556690,5.93,12008,3335,UK,168
347,Corey Price,Facebook,Travel,2220826,3.88,47744,4560,Australia,144
348,Brian Vaughn,LinkedIn,Gaming,769164,2.57,20369,7114,UK,26
349,Sheri Harris,YouTube,Fashion,1293015,14.54,2006,6390,USA,120
350,Richard Bell,TikTok,Beauty,4676225,10.55,46468,330,UK,144
351,Michele Potts,Facebook,Gaming,1892838,12.05,34770,1573,India,177
352,Edward Escobar,LinkedIn,Technology,3446786,11.17,23786,9071,UK,147
353,Samantha Contreras,LinkedIn,Fitness,2165336,3.34,32844,9421,USA,27
354,Michael Khan,TikTok,Fitness,1750643,11.68,45277,6473,UK,148
355,Crystal Soto,TikTok,Food,4166319,3.48,28127,8534,Canada,122
356,Maria Johnson,YouTube,Technology,4095613,6.13,36734,6985,India,54
