campaign_id,campaign_name,platform,campaign_type,impressions,clicks,conversions,ad_spend,revenue,ctr_percent,conversion_rate_percent,roi_percent,campaign_date
33,Campaign_33,Twitter,Awareness,195753,28759,6785,11942.1,51769.32,14.69,23.59,333.5,2025-03-26
34,Campaign_34,YouTube,Sales,41778,4298,1439,20114.52,33588.37,10.29,33.48,66.99,2025-06-21
35,Campaign_35,YouTube,Awareness,291168,30400,2346,10836.1,25982.2,10.44,7.72,139.77,2026-01-17
36,Campaign_36,Instagram,Awareness,242328,37066,3258,1739.41,9561.39,15.3,8.79,449.69,2025-04-08
37,Campaign_37,TikTok,Awareness,495683,31982,2774,10457.14,34193.19,6.45,8.67,226.98,2025-10-21
38,Campaign_38,TikTok,Engagement,96317,13418,67,24640.07,57666.96,13.93,0.5,134.04,2024-11-26
39,Campaign_39,Instagram,Awareness,231777,37422,15997,4292.52,10627.61,16.15,42.75,147.58,2025-10-06
40,Campaign_40,LinkedIn,Sales,402154,42104,1923,1728.49,5617.92,10.47,4.57,225.02,2025-04-21
41,Campaign_41,Instagram,Sales,39821,5160,378,21357.89,31922.39,12.96,7.33,49.46,2024-10-24
42,Campaign_42,Instagram,Traffic,221694,8856,2066,14683.52,20129.48,3.99,23.33,37.09,2024-08-18
43,Campaign_43,Twitter,Engagement,354652,69522,20783,23400.3,48633.18,19.6,29.89,107.83,2026-04-26
44,Campaign_44,TikTok,Engagement,135140,9703,3292,3706.52,14735.84,7.18,33.93,297.57,2026-03-11
45,Campaign_45,Instagram,Awareness,497073,10508,126,11728.0,64426.06,2.11,1.2,449.34,2025-11-29
46,Campaign_46,Instagram,Sales,291875,14969,4194,6997.41,36477.61,5.13,28.02,421.3,2024-10-31
47,Campaign_47,Facebook,Awareness,203738,19676,2634,11235.52,39726.97,9.66,13.39,253.58,2025-09-23
48,Campaign_48,Instagram,Awareness,360152,40240,3444,23503.79,41776.85,11.17,8.56,77.75,2025-03-10
49,Campaign_49,Twitter,Engagement,399240,73512,10237,7172.53,27261.12,18.41,13.93,280.08,2026-04-25
50,Campaign_50,Instagram,Awareness,116743,21782,4375,12882.52,29369.84,18.66,20.09,127.98,2026-04-25
51,Campaign_51,YouTube,Engagement,342547,56518,27226,7278.67,8845.38,16.5,48.17,21.52,2024-11-10
52,Campaign_52,Instagram,Awareness,94715,15478,4569,17788.85,64251.54,16.34,29.52,261.19,2026-02-09
53,Campaign_53,LinkedIn,Sales,473002,91573,9818,13866.96,66405.52,19.36,10.72,378.88,2025-12-11
54,Campaign_54,Instagram,Engagement,235332,9352,392,8052.33,40790.05,3.97,4.19,406.56,2025-01-07
55,Campaign_55,LinkedIn,Traffic,120140,23349,4138,16839.87,45818.22,19.43,17.72,172.08,2026-01-15
56,Campaign_56,YouTube,Traffic,335405,21257,3928,21682.84,117037.16,6.34,18.48,439.77,2025-09-15
57,Campaign_57,TikTok,Sales,22995,1734,804,23149.94,105662.39,7.54,46.37,356.43,2025-11-22
58,Campaign_58,TikTok,Sales,149883,6216,2922,3148.34,15585.28,4.15,47.01,395.03,2025-03-28
59,Campaign_59,YouTube,Sales,114633,16083,2914,7977.18,36854.46,14.03,18.12,362.0,2025-01-08
60,Campaign_60,Instagram,Engagement,22406,3703,445,10262.42,24609.21,16.53,12.02,139.8,2024-10-25
61,Campaign_61,Facebook,Awareness,194101,34384,13146,17148.19,82787.05,17.71,38.23,382.77,2025-08-17
62,Campaign_62,Instagram,Awareness,70472,5279,781,14724.45,79942.98,7.49,14.79,442.93,2024-08-24
63,Campaign_63,LinkedIn,Awareness,322775,29479,5713,18349.35,46769.05,9.13,19.38,154.88,2024-08-21
64,Campaign_64,Instagram,Sales,211953,38787,6278,6740.7,28632.99,18.3,16.19,324.78,2026-05-03
65,Campaign_65,LinkedIn,Engagement,200956,29265,1196,23747.42,122520.41,14.56,4.09,415.93,2025-01-11
66,Campaign_66,Facebook,Traffic,357806,17334,4970,12924.5,52572.21,4.84,28.67,306.76,2026-01-06
67,Campaign_67,TikTok,Sales,375538,39752,18216,3618.55,10884.31,10.59,45.82,200.79,2024-08-08
68,Campaign_68,Facebook,Sales,332707,40446,13356,13924.46,16733.66,12.16,33.02,20.17,2025-02-13
69,Campaign_69,YouTube,Traffic,235385,39009,10609,11892.21,36881.16,16.57,27.2,210.13,2024-10-10
70,Campaign_70,Twitter,Engagement,426145,23241,10844,2577.49,8805.85,5.45,46.66,241.64,2024-08-07
71,Campaign_71,Instagram,Awareness,58961,4848,1321,6003.7,12345.16,8.22,27.25,105.63,2024-12-25
72,Campaign_72,LinkedIn,Sales,138368,16569,1243,11657.7,58409.61,11.97,7.5,401.04,2025-03-02
73,Campaign_73,Twitter,Awareness,386620,51328,16249,10291.5,18880.34,13.28,31.66,83.46,2024-12-31
74,Campaign_74,Twitter,Traffic,478010,14970,6426,10916.08,21355.27,3.13,42.93,95.63,2025-05-12
75,Campaign_75,YouTube,Traffic,36328,5566,1070,22978.02,39564.52,15.32,19.22,72.18,2024-12-02
76,Campaign_76,LinkedIn,Traffic,360002,70616,20844,23775.97,119667.58,19.62,29.52,403.31,2025-08-20
77,Campaign_77,TikTok,Traffic,445457,72810,29273,22481.6,98867.75,16.35,40.2,339.77,2024-09-30
78,Campaign_78,LinkedIn,Traffic,145891,25634,4100,21076.64,50424.57,17.57,15.99,139.24,2025-02-10
79,Campaign_79,YouTube,Engagement,338596,32358,4549,11276.88,48132.46,9.56,14.06,326.82,2025-06-22
80,Campaign_80,TikTok,Sales,186080,21952,8899,2474.15,4573.64,11.8,40.54,84.86,2024-06-27
81,Campaign_81,TikTok,Traffic,380367,29043,1102,10664.26,27970.11,7.64,3.79,162.28,2025-12-07
82,Campaign_82,Twitter,Awareness,42645,2694,910,10042.18,45291.46,6.32,33.78,351.01,2024-12-06
83,Campaign_83,Facebook,Traffic,459174,76456,24978,12186.0,64022.67,16.65,32.67,425.38,2026-03-13
84,Campaign_84,LinkedIn,Sales,457452,55921,17686,18814.13,66759.47,12.22,31.63,254.84,2024-08-15
85,Campaign_85,Facebook,Traffic,265972,15380,2285,11177.98,14808.66,5.78,14.86,32.48,2025-01-13
86,Campaign_86,LinkedIn,Awareness,389679,22632,7707,23028.77,124749.25,5.81,34.05,441.71,2024-08-26
87,Campaign_87,Twitter,Traffic,485491,52645,19445,14327.6,18862.84,10.84,36.94,31.65,2024-09-21
88,Campaign_88,Facebook,Sales,81145,15202,3832,4952.36,11482.9,18.73,25.21,131.87,2024-12-08
89,Campaign_89,TikTok,Engagement,248393,22420,5579,19150.13,54199.52,9.03,24.88,183.02,2025-06-16
90,Campaign_90,Facebook,Sales,447733,11735,3902,974.89,3431.13,2.62,33.25,251.95,2025-10-29
91,Campaign_91,YouTube,Awareness,350862,9993,379,18978.71,100270.8,2.85,3.79,428.33,2024-10-26
92,Campaign_92,LinkedIn,Sales,335758,20973,3958,3592.41,14652.27,6.25,18.87,307.87,2024-08-22
93,Campaign_93,LinkedIn,Awareness,253811,46840,8446,19289.0,37063.68,18.45,18.03,92.15,2024-12-29
94,Campaign_94,Facebook,Traffic,417786,22465,5146,3148.42,4125.74,5.38,22.91,31.04,2025-12-17
95,Campaign_95,YouTube,Awareness,217961,13997,672,15006.4,71602.41,6.42,4.8,377.15,2025-09-24
96,Campaign_96,LinkedIn,Awareness,375529,40529,19724,20235.44,93564.16,10.79,48.67,362.38,2024-08-18
97,Campaign_97,Twitter,Engagement,192034,35913,14087,16707.27,25002.66,18.7,39.23,49.65,2025-03-01
98,Campaign_98,Twitter,Traffic,16633,2720,1053,3085.7,16451.06,16.35,38.71,433.14,2024-12-24
99,Campaign_99,Twitter,Engagement,380833,21052,7185,4815.36,16581.75,5.53,34.13,244.35,2026-02-10
100,Campaign_100,Facebook,Engagement,332915,64372,15282,11171.58,48522.78,19.34,23.74,334.34,2025-07-08
101,Campaign_101,TikTok,Traffic,456542,33177,2889,7333.74,23016.57,7.27,8.71,213.84,2026-02-12
102,Campaign_102,YouTube,Engagement,186368,2880,1062,21348.34,42310.52,1.55,36.88,98.19,2025-05-17
103,Campaign_103,Facebook,Awareness,428293,34862,11202,7351.63,27667.61,8.14,32.13,276.35,2025-07-20
104,Campaign_104,LinkedIn,Sales,280861,13521,751,6413.22,18903.87,4.81,5.55,194.76,2025-10-25
105,Campaign_105,Instagram,Awareness,372078,63402,21214,17940.14,56101.52,17.04,33.46,212.72,2025-12-25
106,Campaign_106,LinkedIn,Engagement,164264,8261,1706,17448.79,43913.12,5.03,20.65,151.67,2024-09-13
107,Campaign_107,LinkedIn,Engagement,258124,37272,17447,8922.06,48942.1,14.44,46.81,448.55,2024-07-09
108,Campaign_108,Twitter,Sales,194450,30736,4488,8012.26,17557.37,15.81,14.6,119.13,2024-08-25
109,Campaign_109,Facebook,Engagement,175438,8835,1566,5192.75,22723.47,5.04,17.72,337.6,2025-09-14
110,Campaign_110,Instagram,Sales,62704,4180,656,6073.34,11974.19,6.67,15.69,97.16,2025-06-15
111,Campaign_111,YouTube,Traffic,153818,2491,161,14057.29,59025.08,1.62,6.46,319.89,2025-04-30
112,Campaign_112,YouTube,Awareness,63785,1200,341,12000.23,37128.9,1.88,28.42,209.4,2025-01-04
113,Campaign_113,Instagram,Awareness,142371,16654,1919,20641.83,60336.94,11.7,11.52,192.3,2026-03-10
114,Campaign_114,YouTube,Awareness,89548,5888,2355,23753.58,37204.71,6.58,40.0,56.63,2025-09-05
115,Campaign_115,YouTube,Traffic,302590,51098,13687,15354.78,70634.84,16.89,26.79,360.02,2026-03-24
116,Campaign_116,Facebook,Awareness,246199,30014,4921,21574.08,117732.65,12.19,16.4,445.71,2026-03-05
117,Campaign_117,Twitter,Sales,329622,63921,24301,2931.22,13131.19,19.39,38.02,347.98,2026-01-04
118,Campaign_118,Instagram,Sales,148750,22640,1380,4347.9,8467.09,15.22,6.1,94.74,2025-01-14
119,Campaign_119,Instagram,Sales,11402,1836,511,17389.59,56005.32,16.1,27.83,222.06,2025-10-16
120,Campaign_120,Twitter,Sales,161049,24165,4682,17723.2,55869.46,15.0,19.38,215.23,2025-07-06
121,Campaign_121,Twitter,Sales,494395,35675,6532,10915.9,38659.95,7.22,18.31,254.16,2026-01-31
122,Campaign_122,Facebook,Engagement,486269,35816,4710,2249.54,4304.42,7.37,13.15,91.35,2024-08-19
123,Campaign_123,Facebook,Traffic,240242,9149,3889,17372.61,73118.79,3.81,42.51,320.89,2024-06-05
124,Campaign_124,Facebook,Engagement,239511,6271,2499,1476.59,4515.0,2.62,39.85,205.77,2026-04-13
125,Campaign_125,LinkedIn,Awareness,23560,1374,284,24066.82,115391.31,5.83,20.67,379.46,2025-10-02
126,Campaign_126,LinkedIn,Traffic,410954,36325,1368,19196.17,37496.27,8.84,3.77,95.33,2024-11-13
127,Campaign_127,TikTok,Awareness,490285,37458,5997,24925.16,76627.56,7.64,16.01,207.43,2024-11-25
128,Campaign_128,YouTube,Engagement,256420,23803,6740,8666.06,35371.17,9.28,28.32,308.16,2026-02-11
129,Campaign_129,LinkedIn,Awareness,225820,33471,9494,16733.3,48893.78,14.82,28.36,192.19,2024-11-11
130,Campaign_130,TikTok,Awareness,248459,6771,1338,6683.77,11352.14,2.73,19.76,69.85,2024-06-11
131,Campaign_131,LinkedIn,Traffic,354803,61552,13591,1828.0,6268.74,17.35,22.08,242.93,2025-03-28
132,Campaign_132,YouTube,Engagement,337894,58939,24953,1764.49,4143.63,17.44,42.34,134.83,2025-12-23
133,Campaign_133,LinkedIn,Sales,239699,46760,15933,3474.94,18710.92,19.51,34.07,438.45,2026-02-24
134,Campaign_134,Instagram,Sales,382130,21758,5141,13995.56,50029.66,5.69,23.63,257.47,2024-10-06
135,Campaign_135,YouTube,Traffic,451138,15871,3830,23702.99,94460.01,3.52,24.13,298.52,2025-12-23
136,Campaign_136,TikTok,Traffic,498978,94926,19177,12967.36,30806.91,19.02,20.2,137.57,2024-11-28
137,Campaign_137,LinkedIn,Sales,137785,15967,4565,4043.73,8166.82,11.59,28.59,101.96,2025-07-05
138,Campaign_138,Facebook,Engagement,462998,10150,2313,19430.54,94703.93,2.19,22.79,387.4,2025-11-03
139,Campaign_139,LinkedIn,Traffic,440204,1336,339,18288.25,87804.57,0.3,25.37,380.11,2026-05-09
140,Campaign_140,LinkedIn,Traffic,463645,20476,7366,13695.22,36758.42,4.42,35.97,168.4,2026-04-28
141,Campaign_141,TikTok,Sales,248731,22088,3140,24528.98,54622.7,8.88,14.22,122.69,2025-10-30
142,Campaign_142,TikTok,Traffic,458797,54841,1480,8295.32,26825.39,11.95,2.7,223.38,2025-06-19
143,Campaign_143,LinkedIn,Engagement,357964,20936,8165,24138.2,42069.48,5.85,39.0,74.29,2025-02-16
144,Campaign_144,TikTok,Awareness,465973,14154,6972,11287.5,39072.69,3.04,49.26,246.16,2025-03-27
145,Campaign_145,Instagram,Traffic,388768,19894,6767,21837.86,117287.09,5.12,34.02,437.08,2025-02-23
146,Campaign_146,Instagram,Engagement,419744,35737,11143,15769.86,45877.33,8.51,31.18,190.92,2025-02-18
147,Campaign_147,Twitter,Traffic,456872,89389,35021,9810.23,25130.31,19.57,39.18,156.16,2026-04-02
148,Campaign_148,Twitter,Engagement,467379,71912,2402,15627.76,34529.72,15.39,3.34,120.95,2024-05-28
149,Campaign_149,Twitter,Awareness,129268,25470,1530,11132.3,18071.12,19.7,6.01,62.33,2024-12-07
150,Campaign_150,Facebook,Awareness,242615,11902,5735,7836.92,10379.79,4.91,48.19,32.45,2025-02-11
151,Campaign_151,TikTok,Sales,163809,12746,3120,11051.83,24867.16,7.78,24.48,125.0,2024-05-11
152,Campaign_152,Twitter,Sales,99120,6736,373,15432.55,43904.69,6.8,5.54,184.49,2025-01-17
153,Campaign_153,TikTok,Engagement,270920,39217,4739,6188.62,24401.67,14.48,12.08,294.3,2024-05-17
154,Campaign_154,YouTube,Awareness,359616,2231,1002,22579.63,92886.43,0.62,44.91,311.37,2024-09-05
155,Campaign_155,Twitter,Engagement,241593,23646,9676,7829.28,41782.71,9.79,40.92,433.67,2026-02-28
156,Campaign_156,Instagram,Sales,249513,20799,3313,24984.65,121658.82,8.34,15.93,386.93,2026-01-13
157,Campaign_157,Facebook,Awareness,209944,38481,11812,14582.89,79747.64,18.33,30.7,446.86,2025-05-26
158,Campaign_158,Twitter,Awareness,445178,87275,25989,7224.77,26251.16,19.6,29.78,263.35,2024-05-16
159,Campaign_159,YouTube,Engagement,487425,80482,32603,20904.55,106249.89,16.51,40.51,408.26,2026-04-06
160,Campaign_160,Twitter,Sales,124821,21860,3165,15711.83,64644.55,17.51,14.48,311.44,2025-03-06
161,Campaign_161,TikTok,Awareness,339382,13735,5190,16335.34,41302.46,4.05,37.79,152.84,2026-05-05
162,Campaign_162,Facebook,Traffic,313863,24911,12048,3719.59,19012.31,7.94,48.36,411.14,2025-04-13
163,Campaign_163,Facebook,Engagement,102085,7579,591,19769.56,98230.61,7.42,7.8,396.88,2025-05-20
164,Campaign_164,Facebook,Engagement,445406,22567,4260,22894.2,120423.67,5.07,18.88,426.0,2025-04-09
165,Campaign_165,YouTube,Traffic,431649,16095,3886,24090.89,43490.2,3.73,24.14,80.53,2025-09-30
166,Campaign_166,Facebook,Awareness,453413,74048,24021,2712.42,7856.99,16.33,32.44,189.67,2025-08-14
167,Campaign_167,TikTok,Engagement,248438,25155,11073,18850.78,43871.31,10.13,44.02,132.73,2025-04-17
168,Campaign_168,LinkedIn,Engagement,66804,12056,1965,12051.18,46566.38,18.05,16.3,286.41,2025-03-12
169,Campaign_169,TikTok,Engagement,489857,80964,14557,16367.48,64360.81,16.53,17.98,293.22,2024-12-16
170,Campaign_170,Facebook,Traffic,350388,54516,3873,3924.54,20678.11,15.56,7.1,426.89,2024-11-17
171,Campaign_171,TikTok,Engagement,70880,2592,530,22237.85,39657.99,3.66,20.45,78.34,2025-10-22
172,Campaign_172,TikTok,Awareness,361527,71804,27517,14889.84,64389.27,19.86,38.32,332.44,2025-11-10
173,Campaign_173,Instagram,Engagement,447095,65139,20223,10498.84,55555.06,14.57,31.05,429.15,2025-11-08
174,Campaign_174,Instagram,Engagement,123911,15528,3692,23788.6,116051.16,12.53,23.78,387.84,2025-05-15
175,Campaign_175,Instagram,Traffic,295456,43259,11803,1983.48,4733.16,14.64,27.28,138.63,2025-11-04
176,Campaign_176,YouTube,Sales,58063,4475,137,1739.17,4581.13,7.71,3.06,163.41,2024-05-27
177,Campaign_177,YouTube,Awareness,45971,4394,934,20419.8,44962.24,9.56,21.26,120.19,2025-06-15
178,Campaign_178,YouTube,Awareness,155371,29128,2420,24694.42,86996.63,18.75,8.31,252.29,2025-06-29
179,Campaign_179,YouTube,Engagement,356584,4379,589,864.08,3972.12,1.23,13.45,359.69,2024-07-19
180,Campaign_180,LinkedIn,Awareness,18273,1713,321,1783.78,7829.7,9.37,18.74,338.94,2024-10-07
181,Campaign_181,LinkedIn,Awareness,400943,9330,3951,11482.74,31655.25,2.33,42.35,175.68,2024-06-24
182,Campaign_182,Twitter,Engagement,246981,34019,7309,23662.68,32807.59,13.77,21.49,38.65,2025-09-04
183,Campaign_183,TikTok,Traffic,250146,43161,1070,1990.22,6487.37,17.25,2.48,225.96,2025-09-10
184,Campaign_184,Instagram,Engagement,369712,15150,4066,17953.83,55788.26,4.1,26.84,210.73,2026-03-12
185,Campaign_185,LinkedIn,Engagement,328923,10721,588,3591.69,13952.15,3.26,5.48,288.46,2024-12-26
186,Campaign_186,TikTok,Awareness,209703,40150,17435,7724.99,26063.11,19.15,43.42,237.39,2025-06-13
187,Campaign_187,LinkedIn,Sales,425810,15996,7036,16540.47,82274.56,3.76,43.99,397.41,2025-08-13
188,Campaign_188,TikTok,Traffic,235480,30593,14600,6098.09,16205.1,12.99,47.72,165.74,2024-07-16
189,Campaign_189,Facebook,Sales,228098,7231,1330,10955.72,44479.83,3.17,18.39,306.0,2025-02-25
190,Campaign_190,TikTok,Awareness,370092,63163,2249,2735.01,4285.94,17.07,3.56,56.71,2025-05-04
191,Campaign_191,LinkedIn,Engagement,400379,49843,4313,14131.08,52593.05,12.45,8.65,272.18,2025-08-20
192,Campaign_192,TikTok,Awareness,361279,17021,6780,9163.15,37211.22,4.71,39.83,306.1,2024-09-17
193,Campaign_193,YouTube,Sales,160800,20674,5169,9115.33,33590.44,12.86,25.0,268.5,2025-07-10
194,Campaign_194,LinkedIn,Engagement,354318,64201,7398,21258.23,57513.93,18.12,11.52,170.55,2025-12-11
195,Campaign_195,LinkedIn,Awareness,70232,13494,2332,14565.45,68035.97,19.21,17.28,367.11,2026-03-26
196,Campaign_196,YouTube,Engagement,329288,61888,21605,20821.79,48931.73,18.79,34.91,135.0,2024-06-30
197,Campaign_197,YouTube,Traffic,378416,41499,11185,9100.07,18018.54,10.97,26.95,98.0,2025-05-10
198,Campaign_198,Twitter,Sales,46482,3324,1567,16012.71,21326.14,7.15,47.14,33.18,2025-06-05
199,Campaign_199,Twitter,Engagement,207234,28514,7482,8851.95,24707.81,13.76,26.24,179.12,2026-01-31
200,Campaign_200,LinkedIn,Awareness,417285,75395,5617,22141.88,41383.03,18.07,7.45,86.9,2025-07-30
201,Campaign_201,LinkedIn,Traffic,363353,11693,2279,11356.27,34333.0,3.22,19.49,202.33,2025-01-14
202,Campaign_202,TikTok,Awareness,227151,18902,3581,18996.11,32092.32,8.32,18.95,68.94,2026-03-30
203,Campaign_203,Facebook,Awareness,158502,23223,11166,15031.79,52097.43,14.65,48.08,246.58,2026-04-27
204,Campaign_204,YouTube,Sales,125615,13951,4959,1842.16,3829.89,11.11,35.55,107.9,2025-10-18
205,Campaign_205,Twitter,Traffic,410640,34491,9534,8539.0,10530.62,8.4,27.64,23.32,2024-07-06
206,Campaign_206,LinkedIn,Engagement,102114,5233,1607,13548.27,29663.61,5.12,30.71,118.95,2025-07-01
207,Campaign_207,TikTok,Awareness,47788,7505,3579,18680.01,57454.93,15.7,47.69,207.57,2024-12-18
208,Campaign_208,Twitter,Traffic,461993,42033,18916,11017.47,32380.55,9.1,45.0,193.9,2026-01-23
209,Campaign_209,LinkedIn,Traffic,161789,4774,1709,1010.99,2625.04,2.95,35.8,159.65,2025-01-30
210,Campaign_210,TikTok,Traffic,446221,48428,2937,11199.44,18537.44,10.85,6.06,65.52,2025-06-02
211,Campaign_211,YouTube,Engagement,284707,6154,1671,21827.85,96194.48,2.16,27.15,340.7,2025-06-28
212,Campaign_212,LinkedIn,Sales,418482,23037,1301,13006.84,21985.65,5.5,5.65,69.03,2025-05-14
213,Campaign_213,YouTube,Sales,484964,46793,11554,18320.79,86501.23,9.65,24.69,372.15,2025-06-30
214,Campaign_214,Twitter,Awareness,63899,3399,574,5333.16,20214.36,5.32,16.89,279.03,2025-07-04
215,Campaign_215,TikTok,Engagement,102875,17191,7651,18983.92,84810.13,16.71,44.51,346.75,2026-02-06
216,Campaign_216,TikTok,Engagement,463114,83210,20768,4198.46,6270.95,17.97,24.96,49.36,2026-03-07
217,Campaign_217,TikTok,Traffic,427506,37002,1890,9122.58,13857.38,8.66,5.11,51.9,2025-10-21
218,Campaign_218,Instagram,Traffic,29717,1466,427,20876.57,31939.97,4.93,29.13,52.99,2024-07-31
219,Campaign_219,Instagram,Traffic,252594,39032,18213,23878.67,104525.55,15.45,46.66,337.74,2026-01-25
220,Campaign_220,YouTube,Awareness,486603,75928,12386,8377.41,27186.41,15.6,16.31,224.52,2025-12-16
221,Campaign_221,Twitter,Awareness,246203,7783,3371,22528.61,60304.19,3.16,43.31,167.68,2024-10-15
222,Campaign_222,TikTok,Sales,274528,43344,5704,1458.98,6190.12,15.79,13.16,324.28,2025-01-13
223,Campaign_223,Twitter,Awareness,200787,25435,4684,9991.71,45264.43,12.67,18.42,353.02,2026-04-10
224,Campaign_224,Twitter,Traffic,423782,83691,21981,2114.84,3397.23,19.75,26.26,60.64,2025-11-30
225,Campaign_225,YouTube,Engagement,158974,9257,1281,8667.37,32119.37,5.82,13.84,270.58,2024-11-30
226,Campaign_226,Facebook,Traffic,172650,26687,2162,15078.51,78912.02,15.46,8.1,423.34,2025-03-08
227,Campaign_227,Twitter,Awareness,347375,44054,4237,16917.85,80605.5,12.68,9.62,376.45,2024-05-27
228,Campaign_228,YouTube,Sales,348703,56496,16712,9364.79,25839.05,16.2,29.58,175.92,2025-10-14
229,Campaign_229,Instagram,Engagement,189166,32868,6341,6050.3,10839.3,17.38,19.29,79.15,2024-12-25
230,Campaign_230,LinkedIn,Awareness,452723,14256,4208,19386.43,92880.68,3.15,29.52,379.1,2025-08-31
231,Campaign_231,YouTube,Sales,357041,45140,20301,3710.7,10463.79,12.64,44.97,181.99,2025-02-09
232,Campaign_232,Facebook,Sales,445864,82885,10898,18168.98,25216.32,18.59,13.15,38.79,2025-04-22
233,Campaign_233,YouTube,Sales,242888,41015,9386,18933.58,86532.93,16.89,22.88,357.03,2024-06-14
234,Campaign_234,LinkedIn,Traffic,172250,31737,14860,20960.28,58305.55,18.42,46.82,178.17,2024-12-30
235,Campaign_235,YouTube,Sales,252053,19466,6306,12821.21,38466.73,7.72,32.39,200.02,2024-07-08
236,Campaign_236,TikTok,Engagement,430090,80254,9120,21888.55,31177.46,18.66,11.36,42.44,2025-11-29
237,Campaign_237,Facebook,Awareness,300739,7723,2963,21224.36,103150.69,2.57,38.37,386.0,2024-05-19
238,Campaign_238,TikTok,Awareness,410092,22012,4519,11508.32,39213.64,5.37,20.53,240.74,2024-06-03
239,Campaign_239,Instagram,Traffic,487366,30102,13430,11552.64,31229.28,6.18,44.61,170.32,2025-11-14
240,Campaign_240,Instagram,Engagement,37921,4247,2106,9662.06,27638.46,11.2,49.59,186.05,2026-03-05
241,Campaign_241,Twitter,Engagement,127722,1923,376,23305.23,112062.22,1.51,19.55,380.85,2024-06-03
242,Campaign_242,TikTok,Sales,424911,20142,2304,1438.43,7400.44,4.74,11.44,414.48,2025-09-26
243,Campaign_243,Instagram,Engagement,407851,62487,14749,15576.03,79362.79,15.32,23.6,409.52,2026-01-30
